turn_index,timestamp,sender,text
114,2026-05-19T02:47:41,Миша,пхпх
115,2026-05-19T02:47:59,Эвелина,естественно она целовалась
116,2026-05-19T02:48:54,Миша,(
117,2026-05-19T02:49:01,Миша,нет чел
118,2026-05-19T02:49:03,Миша,ты бредишь
119,2026-05-19T02:49:09,Миша,пытаешься прикрыться
120,2026-05-19T02:49:16,Миша,давай не болей пж
121,2026-05-19T02:49:29,Эвелина,постараюсь
122,2026-05-19T02:51:32,Миша,навайбкодь скрипт который за тебя раз в день будет заходить прожимать
123,2026-05-19T02:51:39,Миша,а если типа не прожалось
124,2026-05-19T02:51:42,Миша,пистаь тебе в тг ботом
125,2026-05-19T02:51:44,Эвелина,та я знаю)
126,2026-05-19T02:51:46,Миша,что алярм ошибка
127,2026-05-19T02:51:52,Миша,норм тема
128,2026-05-19T02:51:53,Эвелина,так и хочу сделать потом
129,2026-05-19T02:52:00,Миша,че знаешь
130,2026-05-19T02:52:04,Миша,я от всего сердца
131,2026-05-19T02:52:05,Миша,подумал
132,2026-05-19T02:52:07,Миша,предложил
133,2026-05-19T02:52:09,Эвелина,ой
134,2026-05-19T02:52:11,Миша,а она все знает уже
135,2026-05-19T02:52:13,Миша,пиздец
136,2026-05-19T02:52:15,Миша,сори сори
137,2026-05-19T02:52:15,Эвелина,дшфуквдфукрплое
138,2026-05-19T02:52:18,Эвелина,СОРИ
139,2026-05-19T02:52:20,Миша,загптшила уже все
140,2026-05-19T02:52:22,Миша,понятно
141,2026-05-19T02:52:23,Эвелина,не
142,2026-05-19T02:52:29,Эвелина,ну это 1я идея
143,2026-05-19T02:52:40,Миша,а типа у меня еще и идеи банальные
144,2026-05-19T02:52:41,Миша,пон
145,2026-05-19T02:52:44,Миша,все ясно
146,2026-05-19T02:52:47,Эвелина,😭😭😭😭😭😭😭
147,2026-05-19T02:52:51,Миша,вот у девы марии наверное был нормальный муж
148,2026-05-19T02:53:03,Миша,который вместо поцелувков чет полезное делал
149,2026-05-19T02:53:07,Миша,хорошие идеи предлагал
150,2026-05-19T02:53:08,Миша,и тд
151,2026-05-19T02:53:13,Эвелина,иосиф да
152,2026-05-19T02:53:16,Миша,сори что not enough
153,2026-05-19T02:53:20,Миша,виссарионович?
154,2026-05-19T02:53:30,Эвелина,вряд ли
155,2026-05-19T02:53:34,Эвелина,блин прикольно
156,2026-05-19T02:53:42,Эвелина,сталина звали как мужа девы марии
157,2026-05-19T02:53:59,Миша,а его жену как
158,2026-05-19T02:54:08,Миша,надя
159,2026-05-19T02:54:09,Миша,(
160,2026-05-19T02:54:19,Эвелина,ой там интересная такая была тян
161,2026-05-19T02:54:25,Миша,жопа вся в помаде
162,2026-05-19T02:54:29,Миша,потом(
163,2026-05-19T02:54:33,Миша,расскажешь пж
164,2026-05-19T02:54:39,Эвелина,аллилуева
165,2026-05-19T02:54:39,Миша,мне интересно
166,2026-05-19T02:54:40,Эвелина,прикинь
167,2026-05-19T02:54:45,Эвелина,вххаха
168,2026-05-19T02:54:52,Миша,"нет, сталина"
169,2026-05-19T02:54:57,Миша,у нее папа был
170,2026-05-19T02:54:59,Миша,сталь
171,2026-05-19T02:55:49,Эвелина,типа хвала господу
172,2026-05-19T02:55:57,Эвелина,"не, мы в какойто рил матрице живем"
173,2026-05-19T02:56:38,Миша,угу
174,2026-05-19T02:56:43,Миша,лан все
175,2026-05-19T02:56:44,Миша,пора
176,2026-05-19T02:56:48,Эвелина,ты спать?
177,2026-05-19T02:56:53,Миша,еще надо 2 часа поспать успеть
178,2026-05-19T02:56:53,Миша,не
179,2026-05-19T02:56:56,Миша,билеты читать
180,2026-05-19T02:56:58,Эвелина,угу
181,2026-05-19T02:57:00,Эвелина,давай
182,2026-05-19T02:57:06,Миша,ты когда спать?
183,2026-05-19T02:57:32,Эвелина,через час гдет максимум
184,2026-05-19T02:57:35,Миша,оке
185,2026-05-19T02:57:44,Эвелина,<3
186,2026-05-19T02:57:46,Миша,спокойной тада
187,2026-05-19T02:57:48,Миша,❤️
188,2026-05-19T02:57:48,Эвелина,я тебя люблю
189,2026-05-19T02:57:51,Эвелина,доброй ночки
190,2026-05-19T02:58:07,Эвелина,сил завтра
191,2026-05-19T02:58:19,Эвелина,и удачного билета
192,2026-05-19T02:58:31,Миша,"cgfcb,b, ❤️"
193,2026-05-19T02:58:34,Миша,я тоже
194,2026-05-19T02:58:37,Миша,спасибао
195,2026-05-19T02:58:41,Миша,ыывапывлажпыапопоп
196,2026-05-19T13:54:33,Эвелина,ну как?
197,2026-05-19T13:58:52,Миша,бля ну там забавно
198,2026-05-19T13:59:01,Миша,был 1 фейкер
199,2026-05-19T13:59:03,Миша,факер
200,2026-05-19T13:59:13,Миша,я случайно к нему сам пошел на +w
201,2026-05-19T13:59:27,Эвелина,окак
202,2026-05-19T14:02:39,Эвелина,как же ахуенен
203,2026-05-19T14:02:45,Эвелина,поздравляю!!
204,2026-05-19T14:07:41,Миша,угу
205,2026-05-19T14:07:52,Миша,ну в моменте тряска кнш была
206,2026-05-19T14:08:36,Миша,тильтовая
207,2026-05-19T14:08:36,Миша,типа я сам к фейкеру пошел на ласт экзе
208,2026-05-19T14:08:36,Миша,по фану
209,2026-05-19T14:09:32,Эвелина,ну это скилл
210,2026-05-19T14:09:36,Эвелина,я бы так не смогла
211,2026-05-19T14:14:38,Эвелина,)
212,2026-05-19T14:14:47,Эвелина,какие планы теперь
213,2026-05-19T14:16:27,Миша,заснуть хз до вечера
214,2026-05-19T14:16:32,Миша,а вечером домашку в шад дослать
215,2026-05-19T14:16:36,Миша,так как дедл сегодня
216,2026-05-19T14:16:43,Эвелина,поняв
217,2026-05-19T14:16:46,Миша,мб вообще фул шад закрою вечером
218,2026-05-19T14:16:58,Эвелина,"а там все, конец"
219,2026-05-19T14:17:05,Миша,"меня в кк звали, но я чет не вывезу"
220,2026-05-19T14:17:21,Миша,"мне тогда сейчас надо шад делать, а я спал час"
221,2026-05-19T14:17:26,Эвелина,ох
222,2026-05-19T14:17:34,Миша,нуу
223,2026-05-19T14:17:36,Миша,финиш
224,2026-05-19T14:17:37,Миша,да
225,2026-05-19T14:17:43,Эвелина,конечно поспи
226,2026-05-19T14:17:50,Миша,"1 домашка по роботиксу, 0.5 по статам"
227,2026-05-19T14:26:36,Миша,у тебя как
228,2026-05-19T14:28:14,Эвелина,а я тока проснулась блин
229,2026-05-19T14:51:38,Миша,А я вот засыпаю
230,2026-05-19T14:51:40,Миша,аы
231,2026-05-19T14:51:44,Миша,какие планы
232,2026-05-19T14:52:45,Миша,"лан, я на часик"
233,2026-05-19T14:53:26,Эвелина,пральна
234,2026-05-19T14:53:37,Эвелина,дальше диплом тыкать
235,2026-05-19T14:53:44,Эвелина,вчера чет забила
236,2026-05-19T14:53:58,Эвелина,мб еще задачку с литкода гляну для разнообразия
237,2026-05-19T14:54:54,Миша,окей
238,2026-05-19T14:55:00,Миша,ну ты знаешь
239,2026-05-19T14:55:06,Миша,деньги стоят 40 тыщ
240,2026-05-19T14:55:10,Миша,вся эта кровь мне
241,2026-05-19T14:55:14,Миша,"пиши, если че"
242,2026-05-19T14:55:18,Миша,3 мантры
243,2026-05-19T14:55:19,Эвелина,угу
244,2026-05-19T21:10:34,Эвелина,😭😭😭😭😭😭😭😭😭
245,2026-05-19T21:10:42,Эвелина,навсегда без сыра с плесенью
246,2026-05-19T21:11:17,Миша,м(
247,2026-05-19T21:11:56,Эвелина,один раз блять
248,2026-05-19T21:12:08,Миша,что
249,2026-05-19T21:12:30,Эвелина,один раз можно пломбир
250,2026-05-19T21:12:35,Эвелина,и никогда
251,2026-05-19T21:12:37,Эвелина,сыр
252,2026-05-19T21:12:50,Миша,ну чатджибиди хуйню нести может
253,2026-05-19T21:13:01,Эвелина,нет все
254,2026-05-19T21:13:09,Эвелина,мне ничего нельзя я умру в бессырьи
255,2026-05-19T21:13:11,Миша,"хз не вижу, как человек может 3 месяца восстанавливаться"
256,2026-05-19T21:13:16,Миша,после пломбира
257,2026-05-19T21:13:23,Миша,типа раз в 3 месяца же
258,2026-05-19T21:13:35,Эвелина,не
259,2026-05-19T21:13:50,Эвелина,типа лучше вообще не есть
260,2026-05-19T21:14:03,Эвелина,но через три месяца можно один раз поесть
261,2026-05-19T21:14:33,Миша,один раз в какой периоз?
262,2026-05-19T21:17:18,Эвелина,иногда
263,2026-05-19T21:17:24,Эвелина,не это пиздец
264,2026-05-19T21:17:52,Миша,сука(
265,2026-05-19T21:18:09,Миша,а какой повод вообще
266,2026-05-19T21:18:15,Миша,поч решила потильтовать
267,2026-05-19T21:18:30,Миша,конкретно что-то или оверол
268,2026-05-19T21:18:41,Эвелина,хз во вкусвилле нашла пломбир с горгонзолой
269,2026-05-19T21:18:46,Эвелина,захотелось
270,2026-05-19T21:18:50,Эвелина,а мне нельзя
271,2026-05-19T21:19:25,Миша,мда
272,2026-05-19T21:19:37,Миша,😞
273,2026-05-19T21:20:51,Эвелина,на шашлыки не зовите крч
274,2026-05-19T21:20:58,Эвелина,острое мне тоже нельзя больше
275,2026-05-19T21:24:39,Миша,да хуйня это
276,2026-05-19T21:24:48,Миша,"все зарастет, это бред"
277,2026-05-19T21:29:44,Эвелина,зарастет офк
278,2026-05-19T21:29:51,Эвелина,но говорят не есть или не пить чето
279,2026-05-19T21:29:56,Эвелина,чтобы заново не ебнуло
280,2026-05-19T21:43:31,Миша,пф и ты поведешься
281,2026-05-19T21:43:39,Миша,они так говорят
282,2026-05-19T21:43:46,Миша,чтобы из игроков леймиков делать
283,2026-05-19T21:43:49,Эвелина,чтобы им больше досталось
284,2026-05-19T21:43:58,Эвелина,вхазпхрх
285,2026-05-19T21:44:22,Эвелина,очень хорошо описывает то что этот мир делает со мной
286,2026-05-19T21:44:27,Эвелина,да
287,2026-05-19T21:44:31,Эвелина,это про меня
288,2026-05-19T21:44:46,Миша,лошара
289,2026-05-19T21:44:54,Миша,я свою синюю лампочку в жопе спрятал
290,2026-05-19T21:45:43,Эвелина,однажды найду
291,2026-05-19T21:46:04,Миша,нет.
292,2026-05-19T21:46:25,Миша,кароче долой уныние
293,2026-05-19T21:46:34,Миша,блять
294,2026-05-19T21:46:36,Эвелина,да нет никакого уныния
295,2026-05-19T21:46:38,Эвелина,все збс
296,2026-05-19T21:46:41,Миша,ты должна шокировать свой организм
297,2026-05-19T21:46:51,Миша,к лету пойдем черный черепок пить
